Date, Value, Capital, PnL
0, 9946.0, 946.0, -108.0, 
1, 9932.493611254917, 946.0, -121.50638874508343, 
2, 9875.909194845593, 946.0, -178.09080515440576, 
3, 9851.497081190373, 946.0, -202.50291880962618, 
4, 9916.724950673675, 946.0, -137.27504932632394, 
5, 10063.063315415304, 946.0, 9.063315415304714, 
6, 10096.245412439945, 946.0, 42.24541243994463, 
7, 10050.72017161269, 946.0, -3.2798283873109995, 
8, 10034.583208086633, 946.0, -19.416791913366865, 
9, 10128.785309081182, 946.0, 74.78530908118319, 
10, 10062.497780346144, 946.0, 8.497780346144168, 
11, 10213.33182075095, 946.0, 159.3318207509492, 
