Date, Value, Capital, PnL
0, 9838.0, 946.0, -162.0, 
1, 9786.844439026168, 946.0, -213.15556097383285, 
2, 9790.230662657807, 946.0, -209.76933734219335, 
3, 9724.036201270888, 946.0, -275.96379872911155, 
4, 9695.745249262307, 946.0, -304.2547507376927, 
5, 9770.369133516047, 946.0, -229.63086648395097, 
6, 9780.199489639597, 946.0, -219.80051036040197, 
7, 9725.772793594584, 946.0, -274.2272064054156, 
8, 9768.655876764251, 946.0, -231.34412323574952, 
9, 9705.443778584699, 946.0, -294.55622141530057, 
10, 9682.420081654265, 946.0, -317.57991834573386, 
11, 9608.798561616568, 946.0, -391.2014383834322, 
