Date	EURGBP_SPOT	NATIXIS_SPOT	EURUSD_SPOT	EURIBOR_6M	CAC_SPOT	EONIA	BONDS_FRANCE_10Y	BONDS_FRANCE_5Y
09/10/2017	0.893	6.95	1.174	-0.274	5365.83	-0.36	0.75	-0.108
10/10/2017	0.894	6.856	1.181	-0.274	5363.65	-0.361	0.743	-0.113
11/10/2017	0.897	6.795	1.186	-0.274	5362.41	-0.362	0.758	-0.092
12/10/2017	0.892	6.744	1.183	-0.274	5360.81	-0.361	0.734	-0.12
13/10/2017	0.89	6.561	1.182	-0.274	5351.74	-0.359	0.69	-0.15
16/10/2017	0.89	6.598	1.18	-0.274	5362.88	-0.359	0.661	-0.178
17/10/2017	0.892	6.613	1.177	-0.274	5361.37	-0.361	0.647	-0.177
18/10/2017	0.893	6.661	1.179	-0.274	5383.81	-0.36	0.675	-0.156
19/10/2017	0.901	6.623	1.185	-0.274	5368.29	-0.36	0.681	-0.16
20/10/2017	0.893	6.837	1.178	-0.274	5372.38	-0.361	0.733	-0.122
23/10/2017	0.89	6.805	1.175	-0.274	5386.81	-0.362	0.711	-0.14
24/10/2017	0.896	6.932	1.176	-0.274	5394.8	-0.361	0.751	-0.108
25/10/2017	0.891	6.849	1.182	-0.274	5374.89	-0.362	0.758	-0.098
26/10/2017	0.886	6.807	1.166	-0.274	5455.4	-0.364	0.725	-0.135
27/10/2017	0.884	6.84	1.161	-0.275	5494.13	-0.36	0.668	-0.197
30/10/2017	0.882	6.813	1.164	-0.276	5493.63	-0.348	0.638	-0.206
31/10/2017	0.877	6.732	1.165	-0.276	5503.29	-0.348	0.63	-0.206
01/11/2017	0.877	6.759	1.162	-0.276	5514.29	-0.35	0.634	-0.207
02/11/2017	0.893	6.753	1.166	-0.276	5510.5	-0.352	0.628	-0.211
03/11/2017	0.888	6.723	1.161	-0.276	5517.97	-0.353	0.623	-0.21
06/11/2017	0.882	6.631	1.161	-0.276	5507.25	-0.354	0.597	-0.234
07/11/2017	0.88	6.61	1.159	-0.275	5480.64	-0.357	0.56	-0.252
08/11/2017	0.884	6.765	1.159	-0.276	5471.43	-0.356	0.561	-0.249
